stroke_team,count
56,0.02113
19,0.0176
23,0.01547
66,0.01541
46,0.01483
87,0.01483
60,0.01434
28,0.01433
10,0.01386
57,0.01361
79,0.01358
110,0.01356
102,0.01354
8,0.0135
27,0.01348
4,0.01348
29,0.01289
7,0.01288
92,0.01281
9,0.0127
77,0.01269
41,0.01266
74,0.01244
104,0.01243
82,0.01212
34,0.01211
48,0.0121
64,0.01177
1,0.01121
26,0.01119
33,0.01096
55,0.01095
86,0.0108
75,0.01075
83,0.01065
65,0.01026
40,0.01023
37,0.01015
13,0.0101
61,0.01006
112,0.0099
25,0.00988
93,0.00986
16,0.00956
52,0.00952
76,0.00935
0,0.00926
30,0.00923
5,0.0092
67,0.00919
15,0.00913
11,0.00912
101,0.00905
14,0.00874
21,0.00871
38,0.00862
98,0.0085
32,0.00847
39,0.00847
105,0.00836
22,0.00827
50,0.00827
24,0.0081
44,0.00788
12,0.00786
115,0.00786
17,0.00786
36,0.00782
96,0.00782
90,0.00781
114,0.00771
69,0.00763
78,0.00761
84,0.00746
97,0.00735
58,0.00717
68,0.00698
3,0.00694
72,0.00689
108,0.00689
94,0.00686
63,0.00685
59,0.00666
2,0.00656
43,0.00649
31,0.00632
100,0.0062
47,0.00614
35,0.00573
20,0.00552
88,0.0055
73,0.0055
89,0.00542
81,0.00533
53,0.00515
106,0.00507
95,0.00499
42,0.00491
113,0.00485
103,0.00469
109,0.00415
54,0.00415
80,0.00379
49,0.00331
45,0.00309
71,0.00267
85,0.00234
70,0.00228
111,0.00217
99,0.00197
107,0.0019
18,0.00183
6,0.00169
51,0.00141
62,0.00067
91,8.000000000002551e-05
