,precise_onset_known,afib_anticoagulant,prior_util,arrival_to_scan_time,thrombolysis,discharge_util,discharge_mrsleq2
onset_during_sleep,-0.65821,,,,-0.12155,,
precise_onset_known,,,,,0.13737,,
atrial_fibrillation,,0.63438,,,,-0.02679,-0.0242
afib_anticoagulant,,,,,-0.29834,,
prior_util,,,,,0.32325,0.55124,0.77955
age_80plus,,,-0.11836,,-0.01555,-0.10816,-0.14663
stroke_severity_mild,,,,,-0.07235,0.12423,0.18851
stroke_severity_moderate,,,,,0.1837,-0.11943,-0.14345
stroke_severity_severe,,,,,-0.0433,-0.41916,-0.29924
arrival_to_scan_time,,,,,-0.00177,,
2,,,,14.49148,-0.01433,-0.02069,0.01357
3,,,,-2.59155,-0.08258,-0.02396,-0.02492
5,,,,5.02441,0.01931,0.05376,0.09234
6,,,,2.68727,-0.01163,-0.02512,-0.18424
7,,,,1.75067,0.11288,0.02417,0.02269
8,,,,-5.98839,-0.02646,-0.00289,0.02226
9,,,,-6.6199,0.03214,-0.04794,-0.09656
11,,,,-7.22668,-0.01533,0.01919,0.06891
12,,,,-0.28981,-0.03825,-0.02764,-0.03845
13,,,,-11.92315,0.13549,0.00432,0.01471
14,,,,-10.13793,0.00312,-0.01573,-0.03735
18,,,,-19.23607,0.09548,-0.03516,-0.02045
20,,,,-3.5908,-0.01252,-0.03574,-0.06754
21,,,,0.41599,-0.03867,-0.02863,-0.07097
24,,,,-3.20039,-0.0179,-0.02069,-0.02099
25,,,,4.4218,-0.00995,0.00336,0.04791
28,,,,11.74206,0.07203,0.01207,0.06327
29,,,,-8.87706,-0.10261,-0.0271,-0.04577
31,,,,1.51537,0.08603,0.04575,0.13651
32,,,,2.29567,-0.04299,0.03095,0.07169
33,,,,8.43163,0.00604,0.03335,0.07808
34,,,,-9.01314,0.01204,0.00183,-0.03219
36,,,,11.70692,-0.01748,-0.04935,-0.09299
38,,,,0.89889,-0.04621,-0.02442,-0.04848
39,,,,-8.73276,-0.10465,-0.03222,-0.02576
40,,,,0.96216,-0.02963,-0.02753,-0.08117
42,,,,7.38487,-0.08813,0.02367,-0.0213
43,,,,0.25931,-0.02907,-0.06169,-0.12425
45,,,,-7.36292,-0.00631,-0.01228,0.02328
47,,,,-14.72665,0.00255,-0.0434,-0.05735
48,,,,0.55161,0.01866,-0.0269,-0.0308
49,,,,10.08602,-0.03092,0.07387,0.17085
51,,,,-14.92004,-0.01706,0.00063,0.06909
55,,,,-2.85577,0.00864,0.0843,0.12274
56,,,,-13.06753,-0.08569,0.01694,0.02346
58,,,,-8.5754,-0.17558,0.02425,0.08503
60,,,,-4.48236,-0.04508,-0.01153,-0.09197
61,,,,3.46784,-0.00266,-0.02119,-0.0761
62,,,,84.80033,0.01296,-0.04499,-0.07483
65,,,,9.58979,0.06164,-0.01343,-0.00697
66,,,,-2.9881,0.03421,-0.02833,-0.03858
68,,,,3.20407,-0.0005,0.09637,0.1424
70,,,,-12.91579,0.21684,-0.0253,-0.02974
71,,,,-5.55285,-0.03468,0.04008,0.0685
72,,,,12.14721,0.03215,-0.01512,0.00769
73,,,,-1.16657,-0.0183,-0.00753,-0.00115
74,,,,-1.93146,-0.02463,0.04759,0.10548
76,,,,-17.0584,-0.00681,-0.02877,-0.03394
77,,,,2.27283,0.02889,0.03557,0.03198
78,,,,2.12993,0.00221,0.02196,0.07252
80,,,,-11.73544,0.084,0.00881,-0.01925
82,,,,1.7029,0.04793,-0.02543,-0.02125
83,,,,-9.81515,-0.00838,-0.04019,-0.05646
85,,,,8.57282,-0.03895,0.03784,0.08415
87,,,,-9.98851,0.00372,-0.02184,-0.08564
93,,,,1.24817,-0.03414,-0.0275,0.00213
94,,,,1.65434,0.05144,0.00346,0.02641
95,,,,0.02955,-0.01146,0.00224,-0.00774
98,,,,11.78038,-0.01424,0.03439,0.06853
99,,,,-7.18146,0.08582,0.08106,0.12286
100,,,,-5.4703,-0.03281,0.01097,0.0251
103,,,,9.29006,0.00508,-0.00405,-0.04024
104,,,,-14.47812,-0.08935,-0.00063,-0.0352
106,,,,0.00723,-0.02746,0.00123,0.00654
107,,,,-15.34494,-0.07294,0.00701,0.02324
108,,,,-6.2741,0.03744,-0.02121,-0.03315
thrombolysis,,,,,,0.08027,0.10451
discharge_util,,,,,,,
discharge_mrsleq2,,,,,,,
const,0.65851,0.04014,0.89629,37.83822,0.01126,0.18726,-0.15301
