stroke_severity,count
2.0,0.0936
3.0,0.0868
4.0,0.07579
1.0,0.07262
5.0,0.06623
6.0,0.05954
0.0,0.05421
7.0,0.04794
8.0,0.04026
9.0,0.03449
10.0,0.03139
11.0,0.02738
12.0,0.02508
13.0,0.02285
14.0,0.02233
18.0,0.02155
17.0,0.02131
15.0,0.02096
19.0,0.0205
16.0,0.02034
20.0,0.01825
21.0,0.01685
22.0,0.01549
23.0,0.01372
24.0,0.01241
25.0,0.01072
26.0,0.00916
27.0,0.00709
-1.0,0.00654
28.0,0.00574
29.0,0.0038
30.0,0.00332
31.0,0.00212
32.0,0.00169
33.0,0.00125
42.0,0.00109
34.0,0.00097
40.0,0.00082
37.0,0.00079
35.0,0.00077
36.0,0.00074
38.0,0.00073
39.0,0.0005
41.0,0.000270000000000111
